2026-02-10 17:00:41,964 | INFO | main_load_data | main_load_data.py:35 | [BUILD] en_product4.xml => all_enpd_mai_2025.json
2026-02-10 17:01:06,360 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_205_rare_gynecological_and_obstetric_diseases_en_2024.xlsx
2026-02-10 17:01:06,391 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_209_rare_surgical_maxillo-facial_diseases_en_2024.xlsx
2026-02-10 17:01:06,397 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_212_rare_allergic_disease_en_2024.xlsx
2026-02-10 17:01:06,405 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_216_rare_teratologic_diseases_en_2024.xlsx
2026-02-10 17:01:06,439 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_231_rare_systemic_and_rheumatological_diseases_of_childhood_en_2024.xlsx
2026-02-10 17:01:06,659 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_233_rare_transplant-related_diseases_en_2024.xlsx
2026-02-10 17:01:06,665 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_235_rare_disorder_without_a_determined_diagnosis_after_full_investigation_en_2024.xlsx
2026-02-10 17:01:06,665 | INFO | main_load_data | main_load_data.py:204 | All classification files exported (xml→json→xlsx).
2026-02-10 17:01:06,665 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_197_rare_odontological_diseases_en_2024.xlsx
2026-02-10 17:01:06,675 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_231_rare_systemic_and_rheumatological_diseases_of_childhood_en_2024.xlsx
2026-02-10 17:01:06,683 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_186_rare_surgical_thoracic_diseases_en_2024.xlsx
2026-02-10 17:01:06,690 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_181_rare_neurological_diseases_en_2024.xlsx
2026-02-10 17:01:06,896 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_195_rare_immunological_diseases_en_2024.xlsx
2026-02-10 17:01:06,915 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_183_rare_hepatic_diseases_en_2024.xlsx
2026-02-10 17:01:06,927 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_147_rare_developmental_anomalies_during_embryogenesis_en_2024.xlsx
2026-02-10 17:01:07,174 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_235_rare_disorder_without_a_determined_diagnosis_after_full_investigation_en_2024.xlsx
2026-02-10 17:01:07,177 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_156_rare_genetic_diseases_en_2024.xlsx
2026-02-10 17:01:07,745 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_150_rare_inborn_errors_of_metabolism_en_2024.xlsx
2026-02-10 17:01:07,815 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_196_rare_systemic_and_rheumatological_diseases_en_2024.xlsx
2026-02-10 17:01:07,834 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_199_rare_bone_diseases_en_2024.xlsx
2026-02-10 17:01:07,886 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_202_rare_neoplastic_diseases_en_2024.xlsx
2026-02-10 17:01:07,944 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_182_rare_abdominal_surgical_diseases_en_2024.xlsx
2026-02-10 17:01:07,957 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_203_rare_infectious_diseases_en_2024.xlsx
2026-02-10 17:01:07,970 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_216_rare_teratologic_diseases_en_2024.xlsx
2026-02-10 17:01:07,975 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_189_rare_ophthalmic_diseases_en_2024.xlsx
2026-02-10 17:01:08,055 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_152_rare_gastroenterological_diseases_en_2024.xlsx
2026-02-10 17:01:08,071 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_233_rare_transplant-related_diseases_en_2024.xlsx
2026-02-10 17:01:08,149 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_205_rare_gynecological_and_obstetric_diseases_en_2024.xlsx
2026-02-10 17:01:08,167 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_188_rare_renal_diseases_en_2024.xlsx
2026-02-10 17:01:08,194 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_193_rare_endocrine_diseases_en_2024.xlsx
2026-02-10 17:01:08,231 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_201_rare_infertility_disorders_en_2024.xlsx
2026-02-10 17:01:08,244 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_185_rare_urogenital_diseases_en_2024.xlsx
2026-02-10 17:01:08,256 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_209_rare_surgical_maxillo-facial_diseases_en_2024.xlsx
2026-02-10 17:01:08,270 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_200_rare_otorhinolaryngological_diseases_en_2024.xlsx
2026-02-10 17:01:08,308 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_204_rare_diseases_due_to_toxic_effects_en_2024.xlsx
2026-02-10 17:01:08,313 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_187_rare_skin_diseases_en_2024.xlsx
2026-02-10 17:01:08,371 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_146_rare_cardiac_diseases_en_2024.xlsx
2026-02-10 17:01:08,388 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_184_rare_respiratory_diseases_en_2024.xlsx
2026-02-10 17:01:08,403 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_212_rare_allergic_disease_en_2024.xlsx
2026-02-10 17:01:08,407 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_194_rare_hematological_diseases_en_2024.xlsx
2026-02-10 17:01:08,436 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_198_rare_circulatory_system_diseases_en_2024.xlsx
2026-02-10 17:01:08,452 | INFO | classes.dataset | dataset.py:405 | Loading ORPHAclassification_148_rare_cardiac_malformations_en_2024.xlsx
2026-02-10 17:01:11,386 | INFO | main_load_data | main_load_data.py:98 | Nb classif without genetic: 32
2026-02-10 17:01:13,676 | INFO | main_load_data | main_load_data.py:107 | Nb classif: 34
2026-02-10 17:01:15,533 | INFO | main_load_data | main_load_data.py:112 | Nb non-empty classif: 33
2026-02-10 17:01:15,537 | INFO | main_load_data | main_load_data.py:137 | 371 have a subtype
2026-02-10 17:01:15,542 | INFO | main_load_data | main_load_data.py:144 | 2123 have no subtype
2026-02-10 17:01:15,545 | INFO | main_load_data | main_load_data.py:151 | 1 diseases related to another disease
